,b1,b5,l,vol,espmin,espmax
react_256_c1_frag_0,1.6356735173960921,3.228403232094988,5.659018782643598,29.210339889363855,43.51867173458083,147.52380818080084
react_256_c2_frag_0,1.6822233803886593,3.0920425006452996,3.695177300922818,19.08049014693651,55.73037453763197,150.58726654956212
react_256_c2_frag_1,1.6830637464148988,4.412272078104807,3.7235386572498506,27.129323293553107,6.2693914446891,148.8016884810245
react_258_c1_frag_0,2.3592230647173014,3.111990411632607,3.6801404909951363,26.964802153436995,44.73527021307331,145.1731284679856
react_258_c1_frag_1,1.6647446639897774,1.6648163458630292,2.3544735592630843,5.651373900245135,67.23646007380111,150.76645865553735
react_258_c2_frag_0,1.6823053547323863,3.092004073913874,3.695033752541007,10.823946110559454,55.69965656860359,144.1704878143265
react_259_c1_frag_0,1.6834886262908477,5.71716594059223,3.716205540574149,35.63275792901216,42.09809760088402,144.99051618440055
react_259_c2_frag_0,1.6857701942079477,3.645762547845067,3.0132318023759823,15.77104539756379,14.11251689872875,158.45007088880243
react_259_c2_frag_1,1.6833479639902216,5.717201968364902,3.716159832406797,35.62936886832731,44.37525604527715,146.21132876548305
react_265_c1_frag_0,1.687864498255604,4.420836334612537,3.731571360530091,27.417527832595592,47.74841148405902,146.54263010800807
react_265_c2_frag_0,1.8945309764448666,4.382081121154528,3.459161618102603,10.977254261185097,54.06453142537236,150.3074026602186
react_275_c1_frag_0,1.681336548869808,4.985611044667428,3.725089743917568,31.122017934538878,43.66009699491144,146.04041037185658
react_275_c2_frag_0,1.6838553534568095,5.019979894813366,5.168564688068374,25.479503960944616,43.07313674854159,144.94673811179766
react_275_c2_frag_1,1.680189180401944,5.182509321775377,3.7169936000735815,30.384293248382445,41.98308873217181,146.26219424378354
react_281_c1_frag_0,1.6832434730354304,8.988180848814833,3.715965873442854,45.70060275467504,32.51826112720136,147.2089002093987
react_281_c2_frag_0,1.6821644893541428,3.0920613052583286,3.695112003521445,10.823630348003773,55.62879562657528,145.93560850941617
react_281_c2_frag_1,1.682151695655936,3.0920144570623522,3.6950277597816332,10.824024230841925,55.55167094777837,145.04985040499278
react_283_c1_frag_0,2.3591154594862003,3.112002175762747,3.680072515694439,26.963198358767148,51.4543259698624,140.3533304578891
react_283_c2_frag_0,1.6647922670500446,1.664886513700288,2.3544850468393275,5.651499963760505,66.83472123263748,149.3136454698593
react_283_c2_frag_1,1.6865980025893912,4.607779494723368,6.674376618017128,44.228257787699626,38.2177111980822,146.32640339718762
react_286_c1_frag_0,1.6872456899537962,4.3995431075496265,10.339994328382456,14.849895924268871,26.89488515876443,148.7415650417731
react_286_c2_frag_0,1.682255759329469,3.092034686298622,3.695047729181879,19.080133648991758,55.48272347037389,150.4271923353223
react_286_c2_frag_1,1.6821569508756722,3.0920115178699326,3.6951120949289358,10.824127228210793,55.85481386964811,148.68653095531906
react_292_c1_frag_0,1.6648099857200591,1.6649134001283796,2.354441900520573,5.651687191155215,66.82955764546992,152.77085385673436
