,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_557,3.0215752034261816,4.087584461754347,4.81790601294685,56.799854740881365,48.68027672523045,140.44871836052462,1.542913862781316,6.607266546237513,3.9261919143350728,6.122133839892577,42.43587509213291,146.11544305958574,-5.8027,-0.5652,-0.19005,-0.23762,4.13,2.84,2.76,-0.25058,0.06288,189.807,45.191,17.207,1.2955,0.0,0.0,0.0,0.0,0.0,0.0,144.462,50.64,5.0185,48.203,5.1770000000000005,0.0,0.0,0.0,0.0,0.0,0.9414748700296929
react_558,4.193048560287036,9.603335279361602,3.859695919816681,119.616386935881,31.08244409824213,142.22339288727983,1.5361313393569216,7.859858465323123,8.508919696481465,101.18088522061709,26.340937746302043,143.40178413398235,-5.7404,-1.666,-0.2334,-0.23459,4.17,3.28,2.85,-0.24487,0.05995,177.99387956989233,8.49687096774194,32.456073118279555,47.46990752688175,27.886681720430094,31.448279569892467,19.958709677419343,17.657245161290327,9.440243010752685,3.088870967741935,152.3268301075268,31.24029677419358,5.122217204301076,46.94142150537636,34.29514193548387,31.985251612903223,27.834298924731165,20.239152688172037,15.000113978494626,10.912036559139782,1.1925691598929764
react_559,4.389156576647636,5.572463995085529,3.888399481002381,26.987797320266807,45.84712556401168,139.70562365536512,1.5362297359083823,7.957169273899175,3.915882231063041,8.912319706933628,37.50604906973438,137.30475397819274,-5.7805,-1.7569,-0.22668,-0.2388,4.21,2.84,2.69,-0.24691,0.05825,180.5225,5.3745,24.742,77.76650000000001,7.4005,0.0,0.0,0.0,0.0,0.0,152.3315,31.1875,2.378,61.1405,45.0895,3.679,0.0,0.0,0.0,0.0,1.2897496671392166
react_560,2.7367529934706685,4.415876264744097,4.883779762347288,24.248743091964407,46.03175742407176,139.26655829195127,1.5371331475049537,5.181164116577638,7.056305935898344,11.45765157605225,42.59746467898943,142.57668172234196,-5.6322,-1.5735,-0.24421,-0.23083,3.99,3.74,3.18,-0.24088,0.06341,179.05499999999998,29.700666666666667,30.224666666666668,3.138666666666667,0.0,0.0,0.0,0.0,0.0,0.0,153.1303333333333,29.96733333333333,25.658,30.224666666666668,3.138666666666667,0.0,0.0,0.0,0.0,0.0,0.33599072044097933
react_561,1.7400593411748424,4.413548926671215,6.995163596424179,23.227464382564392,34.6973983254723,143.32899447885015,1.5382601648158647,8.92892750893633,3.917215063594624,0.0019888441065714,12.374836816212754,147.39872671834507,-6.1482,-2.6438,-0.24275,-0.20661,5.85,3.9,2.84,-0.26216,0.04698,176.426,48.07775,31.846,13.2435,1.67725,0.0,0.0,0.0,0.0,0.0,149.59324999999998,31.81175,43.09875,0.0,33.92275,11.73125,1.11275,0.0,0.0,0.0,0.5536931992256504
react_562,1.6863607532304237,5.4381291984715325,3.721378308294293,34.07022713911244,33.52999364005491,146.32743985457756,1.5336678687659535,3.996224933959983,5.874353019456794,14.644287231368756,48.27562893842136,147.1035522882184,-5.742,-0.6987,-0.18189,-0.25299,5.42,4.34,2.93,-0.25718,0.06802,140.007,36.498,2.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.011,31.619,2.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42164229773513223
react_563,1.678519057285914,8.031921823475429,4.742026806213707,60.07519002934377,25.40944261021544,148.13065915956813,1.2490620282522875,6.920886267267627,6.249451127630293,31.697970930639794,32.78693507944082,141.7242593681988,-5.4603,-1.312,-0.17826,-0.24877,5.49,4.23,2.97,-0.2415,0.04317,140.19925,35.55425,27.8425,62.90225,0.0,86.28399999999999,5.21325,2.62075,0.0,0.0,144.25125000000003,29.016,54.558,38.673,57.48925,34.008,2.62075,0.0,0.0,0.0,1.6581632478099713
react_564,1.6783966420751892,8.045843264471095,3.7305571771709247,49.996264314134784,5.61819368148719,147.88935691936263,1.5484161086799688,5.432462527360454,6.825702819478593,17.237537271931167,32.91312020555067,140.54271061935015,-6.1272,-1.6888,-0.14757,-0.26262,5.79,4.22,2.95,-0.37204,0.02035,138.65125,35.236250000000005,21.22125,40.599,0.0,26.7405,0.0,0.0,0.0,0.0,143.065,28.622,43.73625,20.2845,25.0235,1.717,0.0,0.0,0.0,0.0,0.3479594880030113
react_565,1.6832336985733116,6.517078877635614,3.7168352666846656,40.1737857313128,28.334961345493547,146.70681105796774,1.5337870154724458,6.7292914853294405,3.906493507717189,15.311956090112885,38.041585981885774,142.42575358411472,-5.8123,-0.7372,-0.17742,-0.25881,5.76,5.67,3.62,-0.25334,0.06826,140.051,60.649,5.2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.3355,53.095,6.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33599072044097933
react_566,1.683186038979848,9.464645302477784,3.7180306259804414,58.84785973858127,19.73542418034328,141.3549917575199,1.556275144600855,6.947481162274356,6.254293581152184,1.3885173761329903,32.825391432489965,138.99906098271714,-5.5444,-1.1622,-0.17908,-0.25673,5.89,5.69,3.79,-0.24158,0.04501,140.20716666666667,59.78033333333333,16.454166666666666,41.85816666666667,34.9775,72.76116666666667,18.758333333333336,2.6265,0.0,0.0,146.02833333333334,50.02883333333333,55.717000000000006,41.50316666666667,57.491166666666665,34.028333333333336,2.6265,0.0,0.0,0.0,0.47286610198451506
react_567,1.6904845907707775,6.0024408998503,3.7676755625804375,32.507128721077315,39.92859455549064,146.62110995625423,1.5360755695804638,4.096695735198953,6.9191272916624005,3.877963907770098e-05,43.85746541466381,145.16108292172055,-5.9406,-1.022,-0.16402,-0.25256,4.84,3.15,3.08,-0.25877,0.0642,146.78199999999998,62.978,5.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.494,65.25399999999999,5.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17518900763144474
react_568,1.6797176617224032,7.394971937470833,3.7170396162245978,44.77350865684899,28.524878843312912,153.06558495142122,1.282075826156041,3.0348683965336085,8.347837798003358,27.27025983617107,36.31769830649461,139.44356766898952,-6.1921,-0.3662,-0.18692,-0.2454,8.25,5.32,3.58,-0.26328,0.08308,142.684,79.70349999999999,10.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.04699999999997,60.352,21.093,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.05432145959116511
